book_id,title,total_pages,rating,isbn,published_date,publisher_id
1,Lean Software Development: An Agile Toolkit,240,4.17,9780320000000,2003-05-18,5
2,Facing the Intelligence Explosion,91,3.87,,2013-02-01,7
3,Scala in Action,419,3.74,9781940000000,2013-04-10,1
4,Patterns of Software: Tales from the Software Community,256,3.84,9780200000000,1996-08-15,1
5,Anatomy Of LISP,446,4.43,9780070000000,1978-01-01,3
6,Computing machinery and intelligence,24,4.17,,2009-03-22,4
7,XML: Visual QuickStart Guide,269,3.66,9780320000000,2009-01-01,5
8,SQL Cookbook,595,3.95,9780600000000,2005-12-01,7
9,The Apollo Guidance Computer: Architecture And Operation (Springer Praxis Books / Space Exploration),439,4.29,9781440000000,2010-07-01,6
10,Minds and Computers: An Introduction to the Philosophy of Artificial Intelligence,222,3.54,9780750000000,2007-02-13,7
